municipio_id,year,urbana,rustica,bice_grupo_a,bice_grupo_b,bice_grupo_c,bice_grupo_d
5057,2006,0.63,0.5,0.6,0.6,0.6,0.6
5058,2006,0.4,0.3,0.6,0.6,0.6,0.6
5059,2006,0.5,0.4,0.6,0.6,0.6,0.6
5060,2006,0.62,0.62,0.6,0.6,0.6,0.6
5061,2006,0.55,0.32,0.6,0.6,0.6,0.6
5062,2006,0.425,0.4,0.6,0.6,0.6,0.6
5063,2006,0.4,0.3,0.6,0.6,0.6,0.6
5064,2006,0.65,0.65,0.6,0.6,0.6,0.6
5065,2006,0.65,0.47,0.6,0.6,0.6,0.6
5066,2006,0.4,0.65,0.6,0.6,0.6,0.6
5067,2006,0.4,0.3,0.6,0.6,0.6,0.6
5069,2006,0.65,0.65,0.6,0.6,0.6,0.6
5070,2006,0.5,0.75,0.6,0.6,0.6,0.6
5072,2006,0.6,0.75,0.6,0.6,0.6,0.6
5073,2006,0.4,0.6,0.6,0.6,0.6,0.6
5074,2006,0.55,0.55,0.6,0.6,0.6,0.6
5075,2006,0.6,0.45,0.6,0.6,0.6,0.6
5076,2006,0.4,0.3,0.4,0.4,0.4,0.4
5077,2006,0.57,0.65,0.6,0.6,0.6,0.6
5078,2006,0.5,0.6,0.6,0.6,0.6,0.6
5079,2006,0.4,0.3,0.6,0.6,0.6,0.6
5080,2006,0.4,0.55,0.6,0.6,0.6,0.6
5081,2006,0.4,0.3,0.6,0.6,0.6,0.6
5082,2006,0.45,0.7,0.6,0.6,0.6,0.6
5083,2006,0.4,0.3,0.4,0.4,0.4,0.4
5084,2006,0.4,0.3,0.6,0.6,0.6,0.6
5085,2006,0.52,0.65,0.6,0.6,0.6,0.6
5086,2006,0.5,0.5,0.6,0.6,0.6,0.6
5087,2006,0.5,0.6,0.6,0.6,0.6,0.6
5088,2006,0.4,0.3,0.6,0.6,0.6,0.6
5089,2006,0.4,0.3,0.6,0.6,0.6,0.6
5090,2006,0.5,0.75,0.6,0.6,0.6,0.6
5092,2006,0.56,0.6,0.6,0.6,0.6,0.6
5093,2006,0.5,0.6,0.6,0.6,0.6,0.6
5094,2006,0.4,0.3,0.6,0.6,0.6,0.6
5095,2006,0.55,0.5,0.6,0.6,0.6,0.6
5096,2006,0.9,0.6,0.6,0.6,0.6,0.6
5097,2006,0.46,0.36,0.6,0.6,0.6,0.6
5099,2006,0.4,0.6,0.6,0.6,0.6,0.6
5100,2006,0.4,0.3,0.6,0.6,0.6,0.6
5101,2006,0.4,0.3,0.6,0.6,0.6,0.6
5102,2006,0.4,0.6,0.6,0.6,0.6,0.6
5103,2006,0.4,0.3,0.6,0.6,0.6,0.6
5104,2006,0.6,0.45,0.6,0.6,0.6,0.6
5105,2006,0.4,0.3,0.6,0.6,0.6,0.6
5106,2006,0.625,0.47,0.6,0.6,0.6,0.6
5107,2006,0.4,0.3,0.6,0.6,0.6,0.6
5108,2006,0.4,0.3,0.6,0.6,0.6,0.6
5109,2006,0.5,0.6,0.6,0.6,0.6,0.6
5110,2006,0.4,0.3,0.6,0.6,0.6,0.6
5112,2006,0.4,0.3,0.6,0.6,0.6,0.6
5113,2006,0.52,0.6,0.6,0.6,0.6,0.6
5114,2006,0.8,0.65,0.6,0.6,0.6,0.6
5115,2006,0.6,0.3,0.6,0.6,0.6,0.6
5116,2006,0.4,0.3,0.6,0.6,0.6,0.6
5117,2006,0.5,0.6,0.6,0.6,0.6,0.6
5118,2006,0.6,0.5,0.6,0.6,0.6,0.6
5119,2006,0.4,0.3,0.6,0.6,0.6,0.6
5120,2006,0.6,0.8,0.6,0.6,0.6,0.6
5121,2006,0.5,0.32,0.6,0.6,0.6,0.6
5122,2006,0.8,0.9,1,1,1,1
5123,2006,0.5,0.5,0.6,0.6,0.6,0.6
5124,2006,0.4,0.3,0.6,0.6,0.6,0.6
5125,2006,0.4,0.3,0.6,0.6,0.6,0.6
5126,2006,0.5,0.65,0.6,0.6,0.6,0.6
5127,2006,0.4,0.78,0.6,0.6,0.6,0.6
5128,2006,0.6,0.8,0.6,0.6,0.6,0.6
5129,2006,0.6,0.9,0.6,0.6,0.6,0.6
5130,2006,0.4,0.65,0.6,0.6,0.6,0.6
5131,2006,0.6,0.5,0.6,0.6,0.6,0.6
5132,2006,0.55,0.6,0.6,0.6,0.6,0.6
5133,2006,0.81,0.8,0.6,0.6,0.6,0.6
5134,2006,0.6,0.8,0.6,0.6,0.6,0.6
5135,2006,0.56,0.65,0.6,0.6,0.6,0.6
5136,2006,0.4,0.3,0.6,0.6,0.6,0.6
5138,2006,0.7,0.65,0.6,0.6,0.6,0.6
5139,2006,0.4,0.65,0.6,0.6,0.6,0.6
5140,2006,0.4,0.8,0.6,0.6,0.6,0.6
5141,2006,0.4,0.6,0.6,0.6,0.6,0.6
5142,2006,0.6,0.9,0.6,0.6,0.6,0.6
5143,2006,0.4,0.45,0.6,0.6,0.6,0.6
5144,2006,0.5,0.75,0.6,0.6,0.6,0.6
5145,2006,0.4,0.3,0.6,0.6,0.6,0.6
